NAME,DESCONT,PRICE,RATING,RELEASE,ENDS,STARTED
Tales of Monkey Island: Complete Season,-50%,"R$ 25,00",83.97%,Jul 2009,2024-05-20 14:00:00,2024-05-13 14:21:20
Puzzle Agent,-50%,"R$ 9,99",84.87%,—,2024-05-20 14:00:00,2024-05-13 14:21:20
Order of War™,-85%,"R$ 3,73",69.32%,Sep 2009,2024-05-21 14:00:00,2024-05-08 14:01:21
Mini Ninjas,-85%,"R$ 5,23",86.14%,Sep 2009,2024-05-21 14:00:00,2024-05-08 14:01:21
Lara Croft and the Guardian of Light,-85%,"R$ 6,22",88.24%,Sep 2010,2024-05-20 14:00:00,2024-05-10 14:01:20
Faerie Solitaire,-90%,"R$ 2,89",87.04%,Sep 2010,2024-05-20 14:00:00,2024-05-13 14:21:21
Dungeon Siege,-86%,"R$ 3,06",78.44%,Apr 2002,2024-05-21 14:00:00,2024-05-08 14:01:21
Dungeon Siege II,-86%,"R$ 3,06",72.61%,Aug 2005,2024-05-21 14:00:00,2024-05-08 14:01:21
SpellForce - Platinum Edition,-80%,"R$ 3,39",83.86%,Nov 2009,2024-06-01 14:00:00,2024-05-18 14:01:20
SpellForce 2 - Anniversary Edition,-80%,"R$ 4,99",72.47%,Oct 2009,2024-06-01 14:00:00,2024-05-18 14:01:20
Supreme Commander 2,-75%,"R$ 13,72",86.10%,Mar 2010,2024-05-21 14:00:00,2024-05-08 14:01:21
AI War: Fleet Command,-75%,"R$ 8,24",79.00%,Oct 2009,2024-05-20 14:00:00,2024-05-13 14:21:21
Stronghold HD (2012),-70%,"R$ 3,59",92.59%,Oct 2001,2024-05-20 14:00:00,2024-05-13 14:21:21
Stronghold 2: Steam Edition,-70%,"R$ 8,39",85.72%,—,2024-05-20 14:00:00,2024-05-13 14:21:21
Stronghold Crusader HD,-70%,"R$ 5,09",95.07%,Jul 2002,2024-05-23 14:00:00,2024-05-16 14:01:21
Stronghold Legends: Steam Edition,-70%,"R$ 8,39",83.12%,Oct 2009,2024-05-20 14:00:00,2024-05-13 14:21:21
Torchlight,-80%,"R$ 4,99",88.27%,Oct 2009,2024-05-27 14:00:00,2024-05-13 14:21:21
Sword of the Stars: Complete Collection,-75%,"R$ 8,99",82.85%,Oct 2008,2024-05-23 14:00:00,2024-05-09 14:01:23
Magicka,-75%,"R$ 8,99",85.51%,Jan 2011,2024-05-23 14:00:00,2024-05-09 14:01:23
Victoria II,-75%,"R$ 17,99",90.19%,Aug 2010,2024-05-23 14:00:00,2024-05-09 14:01:23
LIMBO,-90%,"R$ 3,70",91.29%,Aug 2011,2024-05-26 14:00:00,2024-05-19 14:01:21
Age of Wonders,-75%,"R$ 5,49",74.90%,—,2024-05-23 14:00:00,2024-05-09 14:01:21
Age of Wonders Shadow Magic,-75%,"R$ 8,99",83.21%,—,2024-05-23 14:00:00,2024-05-09 14:01:21
Men of War: Vietnam,-85%,"R$ 3,97",63.03%,Sep 2011,2024-05-22 14:00:00,2024-05-15 14:01:21
Men of War: Assault Squad,-90%,"R$ 3,29",85.17%,Feb 2011,2024-05-22 14:00:00,2024-05-15 14:01:21
Cities in Motion,-50%,"R$ 35,99",73.51%,Feb 2011,2024-05-23 14:00:00,2024-05-09 14:01:22
